LTER.site	Locale	Species.code	Year	N.Obs	Abundance
KonzaPrairie	grasshopper	Melanoplus femurrubrum	1991	8	150
KonzaPrairie	grasshopper	Melanoplus femurrubrum	1996	4	199
KonzaPrairie	grasshopper	Melanoplus femurrubrum	1997	10	244
KonzaPrairie	grasshopper	Melanoplus femurrubrum	1998	6	155
KonzaPrairie	grasshopper	Melanoplus femurrubrum	1999	6	48
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2000	5	53
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2001	4	30
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2002	8	86
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2003	8	357
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2004	8	336
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2005	10	152
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2006	8	113
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2007	6	63
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2008	10	252
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2009	10	394
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2010	8	81
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2011	9	155
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2012	8	451
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2013	8	561
KonzaPrairie	grasshopper	Melanoplus femurrubrum	2014	5	166
